 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.024444445,0.025555556,0.023333333,0.022222223,0.023333333,0.023333333,0.034444445,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223
2,0.023333333,0.026666666,0.024444444,0.044444446,0.023333333,0.022222223,0.023333333,0.023333333,0.036666666,0.022222223,0.022222223,0.036666666,0.023333333,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223
3,0.02888889,0.022222223,0.025555556,0.024444444,0.023333333,0.023333333,0.023333333,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.043333334,0.023333333,0.043333334,0.022222223,0.037777779,0.022222223,0.022222223,0.035555555
4,0.024444445,0.024444444,0.024444444,0.025555556,0.022222223,0.038888888,0.022222223,0.034444445,0.022222223,0.023333333,0.022222223,0.022222223,0.023333333,0.022222223,0.022222223,0.022222223,0.037777779,0.039999999,0.022222223,0.022222223
5,0.038888889,0.025555556,0.025555556,0.023333333,0.023333333,0.034444445,0.023333333,0.022222223,0.023333333,0.033333334,0.044444445,0.037777779,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.09333333,0.022222223,0.044444446
6,0.027777778,0.026666666,0.022222223,0.033333332,0.022222223,0.037777779,0.035555555,0.022222223,0.023333333,0.023333333,0.037777779,0.033333334,0.032222222,0.037777779,0.022222223,0.049999999,0.022222223,0.037777779,0.022222223,0.038888889
7,0.032222222,0.024444444,0.050000001,0.03,0.022222223,0.023333333,0.023333333,0.023333333,0.022222223,0.036666666,0.03,0.023333333,0.022222223,0.047777777,0.022222223,0.056666667,0.073333335,0.033333334,0.031111111,0.036666666
8,0.02888889,0.024444446,0.03,0.037777777,0.033333332,0.022222223,0.032222222,0.033333332,0.03,0.047777778,0.042222222,0.022222223,0.022222223,0.056666667,0.037777779,0.035555555,0.035555555,0.022222223,0.035555555,0.02888889
9,0.025555556,0.04,0.025555556,0.026666666,0.023333333,0.04,0.023333333,0.038888889,0.022222223,0.022222223,0.022222223,0.022222223,0.022222223,0.064444447,0.042222223,0.022222223,0.045555555,0.022222223,0.06,0.022222223
10,0.032222223,0.023333333,0.034444445,0.022222223,0.025555556,0.078888887,0.046666668,0.041111112,0.02888889,0.053333333,0.037777779,0.063333334,0.043333334,0.03,0.038888889,0.06777778,0.022222223,0.038888889,0.174444438,0.037777779
11,0.026666667,0.024444444,0.047777778,0.045555555,0.052222222,0.045555557,0.034444445,0.031111111,0.053333332,0.021111111,0.036666666,0.022222223,0.046666667,0.100000001,0.022222223,0.023333333,0.042222223,0.142222226,0.04,0.02888889
12,0.036666667,0.023333333,0.024444444,0.024444444,0.022222223,0.042222222,0.126666666,0.023333333,0.112222223,0.038888889,0.050000001,0.022222223,0.047777778,0.034444445,0.053333333,0.038888889,0.048888888,0.022222223,0.050000001,0.162222225
13,0.032222223,0.036666666,0.02888889,0.059999999,0.065555556,0.04222222,0.04,0.062222224,0.038888889,0.037777779,0.06,0.036666667,0.078888887,0.078888888,0.041111111,0.054444445,0.026666667,0.100000001,0.022222223,0.102222219
14,0.027777778,0.023333333,0.040000001,0.023333333,0.062222224,0.052222222,0.056666667,0.092222223,0.035555555,0.145555556,0.033333332,0.031111111,0.075555556,0.055555556,0.048888888,0.022222223,0.036666666,0.038888889,0.042222223,0.249999996
15,0.033333332,0.035555555,0.034444445,0.036666666,0.031111111,0.032222222,0.054444445,0.062222222,0.022222223,0.042222222,0.048888888,0.052222223,0.100000001,0.103333335,0.177777786,0.172222228,0.055555556,0.038888889,0.022222223,0.204444446
16,0.03,0.036666667,0.032222222,0.04888889,0.113333333,0.038888888,0.054444443,0.023333333,0.022222223,0.13111111,0.022222223,0.082222221,0.126666669,0.192222224,0.04,0.086666666,0.066666667,0.044444446,0.17666667,0.106666667
